analysis,claim_or_output,public_output,input_scope,external_workspace_inputs,entry_point,level,access_or_completion_boundary
P01,original gradient point estimates and fixed budgets,results/full_grid/comparison_cells.csv,original cell summaries,artifacts/experiment/gradient_grid_main/cells,scripts/reproducibility/rebuild_recorded_outputs.py,1,original points retained; original complete scores not recovered by stored cell means
P20,complete-partition occlusion and Saliency metrics,results/full_grid/method_summary.csv,66 cached score files and frozen original records,full_grid/scores;full_grid/cells;full_grid/recorded_source;artifacts/experiment/gradient_grid_main/cells;experiments/established_subset/cells,scripts/reproducibility/rebuild_recorded_outputs.py,1,detailed replay inputs are not publicly available
P20_CI,paired task-cluster intervals,results/full_grid/paired_comparisons.csv,paired cell metrics averaged within observed tasks,full_grid/scores;full_grid/cells;artifacts/experiment/gradient_grid_main/cells;experiments/established_subset/cells,scripts/reproducibility/rebuild_recorded_outputs.py,1,2000 observed-task draws; two dependent benchmark families
P21,original calibrated metrics and bootstrap intervals,results/independent_reference/summary.csv,96 score files with masks and source correspondence,independent_reference/results,scripts/reproducibility/rebuild_recorded_outputs.py,1,31 shared test molecules; calibration and fitted predictors fixed; Liver external transfer conditions unresolved
P21_FIXED,source mapping predictions and selected attribution checks,results/independent_reference/validation_summary.json,raw Liver files and primary-source overlap inputs plus six original weights,independent_reference/data/raw;independent_reference/results,scripts/independent_reference/independent_validation.py,2,requires direct source acquisition under source terms; local prepared weights alone are insufficient
P20_FIXED,source correspondence and sampled single-graph scores,results/full_grid/validation_summary.json,raw B-XAIC and Graph Attribution inputs plus 66 original weights,artifacts/experiment/gradient_grid_main/checkpoints;data/raw/bxaic;reference/graph-attribution/data;full_grid,scripts/full_grid/replay_scores.py,2,sampled independent scores are not full independent attribution replay
S24,fresh-training sensitivity,results/v8/version_provenance/analysis_version_result_provenance.csv,pinned public raw inputs and published configuration,data/raw/bxaic;reference/graph-attribution/data,scripts/reproduce_primary.py,3,new run with different learned weights; reported coverage does not include every extension
PHARM,reference-return and schedule-matched oracle outputs,results/v8/pharmacophore_oracle,stored atom scores masks and selected-slice outputs,pharmacophore_benchmark/outputs;pharmacophore_benchmark/run_contract.json;pharmacophore_benchmark/run_pharmacophore_benchmark.py,scripts/v8/pharmacophore_oracle/audit_pharmacophore_oracle.py,1,fixed K4_2ar checkpoint and 512/512 slices; computed reference
PHARM_FIXED,public checkpoint reconstruction,DATA_SOURCES.md,pinned public source tables checkpoint and adapter,pharmacophore_benchmark/inputs;pharmacophore_benchmark/run_pharmacophore_benchmark.py,external recorded pharmacophore runner,2,public upstream checkpoint access exists; no family-wide conclusion
P15_P16,raw-logit integration and margin comparisons,results/v8/version_provenance/analysis_version_result_provenance.csv,recorded 11-cell scores and molecule tables,target_integration/cells;target_integration/*.csv;target_integration/summarize.py,external recorded target_integration/summarize.py,1,11 seed-42 GIN cells only; aggregate reconstruction is not integration recomputation
P23,symmetric eleven/eight-task and family summaries,results/task_symmetry,public four-method paired cell table,none,scripts/revision/task_symmetry/analyze.py,1,public inputs sufficient; 5000 observed-task paired draws
P24,corrected versus naive paired selectors,results/liver_calibration,96 original Liver score files and original metric/summary tables,independent_reference/results,scripts/revision/liver_calibration/analyze.py,1,48 score combinations; six models share 31 test molecules; detailed outputs stay external
P22,four-method complete risk-size curves and paired grid changes,results/grid_sensitivity,66 P01 reexecuted caches plus 66 P20 caches and recorded cell metadata,revision/grid;full_grid/scores;full_grid/environment_full.json,scripts/revision/grid_sensitivity/validate_and_summarize.py,1,all 101 points; historical P01 and checkpoint-reexecuted gradients remain separate
P22_FIXED,repeat original-checkpoint gradient attribution,results/grid_sensitivity/historical_replay_summary.csv,original raw partitions and 66 original weights plus P20 cache identities,artifacts/experiment/gradient_grid_main;data/raw/bxaic;reference/graph-attribution/data;full_grid,scripts/revision/grid_sensitivity/run_grid.py,2,no new training; new numerical run records deviations; use a new external grid workspace
FIG4,numerical task-budget and paired-interval sources,results/task_symmetry/figure_sources,public P01/P20 cell tables plus P02 task oracle and P23 paired intervals,none,scripts/reproducibility/rebuild_fig4_fig5_sources.py,1,all inputs included; numerical source reconstruction without image rendering
FIG5,numerical target set-family and reference-objective panels,results/protocol_figure/figure_sources,public structure-free recorded aggregate inputs under results/protocol_figure/inputs,none,scripts/reproducibility/rebuild_fig4_fig5_sources.py,1,P15/P16 later same-run target scores stay distinct from cached P12/P13/P14; no raw-score replay
