"provenance_id","display_table","analysis_id_version","checkpoint_cache","molecules_tasks","target","baseline_steps","tie_policy","oracle_type","metrics","canonical_output_file","comparability_note","recommended_manuscript_status","artifact_scope","public_aggregate_location"
"P01","Main Table 2 original rows; Fig.4","primary_full_grid","Original frozen GIN/GCN checkpoints recorded under artifacts/experiment/gradient_grid_main/checkpoints","11 tasks x 2 backbones x 3 seeds = 66 cells; all eligible nonempty-reference molecules in the official calibration and test partitions","Observed true-class raw logit; signed atom scores","IG: zero-feature baseline, 20 right-Riemann steps; GradInput: no baseline","index_tiebreak_v1; descending score then original atom index; ceil(lambda*m)","None in Table 2; pair only with P02 historical global-fraction oracle","IG risk 0.087202, retained 0.594129, IoU 0.514597, risk pass 52/66; GradInput risk 0.084522, retained 0.653400, IoU 0.493156, risk pass 55/66","results/original_audits/gradient_grid_phase_a/alpha_summary.csv","Canonical original full-grid result. Do not replace with subset, seed42-only, fresh-retraining, or exact-tie values.","Distinct evidence surface in SI Table S37","packaged_aggregate","results/original_audits/gradient_grid_phase_a/alpha_summary.csv"
"P02","Main Fig.4","primary_reference_first_oracle","No attribution checkpoint is needed for the ideal order; paired to P01 original tasks and partitions","11 task-level oracle calibrations reused over the 66 paired task-backbone-seed cells","Reference-first ordering; no model target","Not applicable","P01 global-fraction cardinality construction under index_tiebreak_v1","Historical task-level rationale-first global-fraction oracle","Oracle retained 0.275238; IG excess 0.318891; GradInput excess 0.378162 at alpha=0.10","results/original_audits/reviewer_oracle_crc/paired_cells_alpha010.csv","Comparable only with P01 or the original P10 branch; not the schedule-matched oracle used by GINE, S28, S30, or pharmacophore analyses.","Distinct evidence surface in SI Table S37","packaged_aggregate","results/original_audits/reviewer_oracle_crc/paired_cells_alpha010.csv"
"P03","Table S41; Fig. S6","matched_five_method_subset","Same original frozen 66 GIN/GCN checkpoints as P01; per-cell hashes recorded with the benchmark artifacts","11 tasks x 2 backbones x 3 seeds = 66 cells; SHA-256-ordered at-most-100 nonempty-reference calibration and test molecules per cell; identical identities across five explainers","Method-specific true-class scores; IG/GradInput signed, with the benchmark-specific definitions for Saliency, atom occlusion, and GNNExplainer","IG zero baseline, 20 steps; GradInput none; Saliency absolute gradients; occlusion zero-vector logit decrease; GNNExplainer 100 epochs","index_tiebreak_v1; exact cardinality with original atom-index tie break","None in Table 3","IG risk 0.073336, retained 0.603394, precision 0.527747, IoU 0.501692; displayed 0.073/0.603/0.528/0.502","results/established_explainers/cells.csv","Canonical five-method paired subset. P05 uses the same identities/checkpoints but a same-run exact-tie recomputation, so its localization values are not interchangeable.","Distinct evidence surface in SI Table S37","packaged_aggregate","results/established_explainers/cells.csv"
"P04","Table S8 A4","bond_aware_gine_exact_ties","33 newly trained residual GINE cells with RDKit node and directed-bond features","11 tasks x 3 seeds = 33 cells; official partitions; all eligible nonempty-reference calibration/test cases","Observed true-class raw logit; signed IG","Zero-node-feature baseline; 20 steps; topology and bond features fixed","include_all_exact_ties_v2","Measured-count-schedule rationale-first oracle for the GINE exact-tie sets","Risk 0.085278; retained 0.568510; precision 0.592094; IoU 0.554993; oracle retained 0.274226; excess 0.294284","results/a_level/a4_gine","Architecture, capacity, atom features, bond features, checkpoints, and tie policy differ from P01/P03; this is not a bond-only ablation.","Distinct evidence surface in SI Table S37","packaged_aggregate","results/a_level/a4_gine"
"P05","Table S8 A5","same_run_target_sensitivity","Original 66 frozen GIN/GCN checkpoints and P03 matched identities; target scores recomputed together","Same 66 cells and at-most-100 nonempty-reference identities as P03","Observed true class, fixed positive class, or intact-input predicted class; signed IG/GradInput","IG zero baseline, 20 steps; GradInput none","include_all_exact_ties_v2; target-specific calibration","None for the target-audit rows","IG true: risk 0.073105, retained 0.603183, precision 0.552370, IoU 0.526441; IG positive: 0.073138/0.591516/0.561286/0.533364; IG predicted: 0.072252/0.622994/0.542006/0.518064","results/a_level/a5_target_null","Same identities as P03 but a tie-inclusive same-run replay; exact-tie replay changed set metrics despite score agreement below 1e-5.","Distinct evidence surface in SI Table S37","packaged_aggregate","results/a_level/a5_target_null"
"P06","Table S8 gate","supervised_mask_presence_gate","Original frozen embeddings/checkpoints; fit-only standardized balanced logistic gate","Complete test operating population; downstream CRC calibration restricted to gate-positive nonempty-reference cases","Fit-only mask-presence gate followed by predicted-class GradInput","GradInput; no integration baseline or steps","include_all_exact_ties_v2 downstream; deterministic full-set fallback where specified","None","Selective nonnull risk 0.079093; abstention-as-one nonnull risk 0.176222; overall retained 0.248784; overall abstention 0.655471; null false-positive-set rate 0.083287","results/a_level/a5_target_null","Different denominator and estimand from nonnull CRC rows; selective risk is not directly comparable with Table 2/3 risk without abstention accounting.","Distinct evidence surface in SI Table S37","packaged_aggregate","results/a_level/a5_target_null"
"P07","Table S16","cached_score_semantics","Historical tie-inclusive matched-subset score cache recorded by the score-semantics contract","11 tasks x GIN x training seed 42 = 11 cells; 1,066 calibration and 1,047 test task-molecule records; at most 100 per split","True-class raw logit; cached signed scores transformed to signed, positive part, or absolute","IG cache: zero baseline, 20 steps; GradInput none; atom occlusion cached","include_all_exact_ties_v2; each transformation recalibrated independently","None","Signed IG risk 0.080708, retained 0.627694, precision 0.534712, IoU 0.510257; displayed risk/retained/IoU 0.081/0.628/0.510","external-workspace/score_semantics","Cached exact-tie diagnostic; not P03's 66-cell index result and not the later IG20 re-executions P08/P15.","Distinct evidence surface in SI Table S37","external_detail_with_metrics_summarized_in_this_map","results/v8/version_provenance/analysis_version_result_provenance.csv"
"P08","Table S17","ig_path_recomputation","Original 11 seed42 GIN checkpoints; P07 identities; first score re-execution","11 tasks x GIN x seed42 = 11 cells; same 1,066 calibration and 1,047 test records as P07","Observed true-class raw logit; signed IG","Zero and fit-partition mean-atom baselines; 20/50/100 steps; batch size 16","include_all_exact_ties_v2; each variant recalibrated independently","None","Zero-20 IG risk 0.079708, retained 0.627958, precision 0.531092, IoU 0.507551, completeness 1.603847; displayed 0.080/0.628/0.508/1.604","external-workspace/score_semantics","First IG20 re-execution. One of 11 selected fractions and 3/11 risk values differed from P07; not exact cache replay.","Distinct evidence surface in SI Table S37","external_detail_with_metrics_summarized_in_this_map","results/v8/version_provenance/analysis_version_result_provenance.csv"
"P09","Table S24","fresh_predictor_retraining","66 fresh GIN/GCN predictors trained from public inputs; no original weights or score caches reused","Same 11 tasks x 2 backbones x 3 seeds; full-grid and at-most-100 subset identities reconstructed from public inputs","Targets and method semantics matched to the corresponding P01/P03 branches","IG zero baseline, 20 steps; other settings matched to the corresponding original analysis","Frozen historical index selector; paired original/fresh reporting","Fresh oracle outputs paired only within the fresh-retraining analysis","Full IG original/fresh risk 0.087/0.088, retained 0.594/0.587, IoU 0.515/0.519; subset IG 0.073/0.074, 0.603/0.595, 0.502/0.507","external-workspace/retraining/comparison/si_s24_retraining_comparison.csv","Fresh stochastic retraining is a reproducibility sensitivity, not a new canonical estimate or bitwise checkpoint reproduction.","Distinct evidence surface in SI Table S37","external_detail_with_metrics_summarized_in_this_map","results/v8/version_provenance/analysis_version_result_provenance.csv"
"P10","Table S27 original","primary_task_composition","Descriptive re-aggregation of P01 original 66 cells and P02 historical oracle","Original 11 tasks or reviewer-defined 8-task subset after excluding B/P/X; six model-seed cells per retained task and method","Same true-class signed IG/GradInput as P01","IG zero baseline, 20 steps; GradInput none","index_tiebreak_v1","P02 historical original-schedule global-fraction oracle","11-task IG 0.087/0.594/oracle 0.275/excess 0.319; 8-task IG 0.091/0.799/0.361/0.438; analogous GradInput values retained","external-workspace/descriptive_audit","Descriptive re-aggregation, not a new experiment. Compare 11 versus 8 tasks only within this original branch.","Distinct evidence surface in SI Table S37","external_detail_with_metrics_summarized_in_this_map","results/v8/version_provenance/analysis_version_result_provenance.csv"
